,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cmemlim_bytes,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
84,4096,mmap,1,read,64,ssd,0,128M,134217728,4612045418,4.3 GB,0,0.0 B,49608.728027,49.6 µs,0.0,0.0 ns,1.70833,8.97,34.2717,55.0417,44.9583
85,4096,mmap,1,read,64,zram,0,128M,134217728,12162739245,11.3 GB,0,0.0 B,11591.982034,11.6 µs,0.0,0.0 ns,3.96,38.975,0.0,57.065,42.935
86,4096,mmap,1,read,64,ssd,1,128M,134217728,4616382959,4.3 GB,0,0.0 B,49799.343397,49.8 µs,0.0,0.0 ns,2.08167,8.92833,32.385,56.6017,43.3983
87,4096,mmap,1,read,64,zram,1,128M,134217728,12184304385,11.3 GB,0,0.0 B,11856.631376,11.9 µs,0.0,0.0 ns,4.2,38.35,0.0,57.445,42.555
88,4096,mmap,1,read,64,ssd,0,16M,16777216,4646347311,4.3 GB,0,0.0 B,49909.538833,49.9 µs,0.0,0.0 ns,1.84667,8.255,33.475,56.42,43.58
89,4096,mmap,1,read,64,zram,0,16M,16777216,11750936514,10.9 GB,0,0.0 B,12479.132058,12.5 µs,0.0,0.0 ns,4.975,38.87,0.0,56.155,43.845
90,4096,mmap,1,read,64,ssd,1,16M,16777216,4600313076,4.3 GB,0,0.0 B,49764.866888,49.8 µs,0.0,0.0 ns,1.805,9.215,33.2617,55.7083,44.2917
91,4096,mmap,1,read,64,zram,1,16M,16777216,11675072500,10.9 GB,0,0.0 B,11863.505326,11.9 µs,0.0,0.0 ns,5.185,38.38,0.0,56.42,43.58
92,4096,mmap,1,read,64,ssd,0,1G,1073741824,4613903366,4.3 GB,0,0.0 B,49723.544517,49.7 µs,0.0,0.0 ns,2.01833,8.915,33.3117,55.75,44.25
93,4096,mmap,1,read,64,zram,0,1G,1073741824,11537857074,10.7 GB,0,0.0 B,12140.253999,12.1 µs,0.0,0.0 ns,4.55,38.635,0.0,56.81,43.19
94,4096,mmap,1,read,64,ssd,1,1G,1073741824,4666540590,4.3 GB,0,0.0 B,49996.109198,50.0 µs,0.0,0.0 ns,1.85167,8.28167,35.335,54.525,45.475
95,4096,mmap,1,read,64,zram,1,1G,1073741824,12489908530,11.6 GB,0,0.0 B,11438.208893,11.4 µs,0.0,0.0 ns,4.165,38.23,0.0,57.605,42.395
96,4096,mmap,1,read,64,ssd,0,256M,268435456,4618244404,4.3 GB,0,0.0 B,49654.590688,49.7 µs,0.0,0.0 ns,1.86167,8.90667,35.3917,53.8383,46.1617
97,4096,mmap,1,read,64,zram,0,256M,268435456,12965939006,12.1 GB,0,0.0 B,11367.49957,11.4 µs,0.0,0.0 ns,5.605,37.535,0.0,56.86,43.14
98,4096,mmap,1,read,64,ssd,1,256M,268435456,4620107350,4.3 GB,0,0.0 B,49732.124775,49.7 µs,0.0,0.0 ns,2.11,8.94,33.665,55.28,44.72
99,4096,mmap,1,read,64,zram,1,256M,268435456,12089985351,11.3 GB,0,0.0 B,11665.366875,11.7 µs,0.0,0.0 ns,5.8,37.475,0.0,56.72,43.28
100,4096,mmap,1,read,64,ssd,0,32M,33554432,4701660969,4.4 GB,0,0.0 B,49837.590892,49.8 µs,0.0,0.0 ns,1.60667,7.745,36.595,54.0517,45.9483
101,4096,mmap,1,read,64,zram,0,32M,33554432,13174746306,12.3 GB,0,0.0 B,11030.392993,11.0 µs,0.0,0.0 ns,4.405,38.495,0.0,57.105,42.895
102,4096,mmap,1,read,64,ssd,1,32M,33554432,4652008985,4.3 GB,0,0.0 B,49904.479844,49.9 µs,0.0,0.0 ns,1.695,8.35,33.2933,56.65,43.35
103,4096,mmap,1,read,64,zram,1,32M,33554432,12136961627,11.3 GB,0,0.0 B,11663.737583,11.7 µs,0.0,0.0 ns,4.65,38.475,0.0,56.865,43.135
104,4096,mmap,1,read,64,ssd,0,512M,536870912,4676066734,4.4 GB,0,0.0 B,49765.163914,49.8 µs,0.0,0.0 ns,1.705,8.16333,35.47,54.655,45.345
105,4096,mmap,1,read,64,zram,0,512M,536870912,12458208255,11.6 GB,0,0.0 B,11576.241388,11.6 µs,0.0,0.0 ns,5.44,37.735,0.0,56.82,43.18
106,4096,mmap,1,read,64,ssd,1,512M,536870912,4660211361,4.3 GB,0,0.0 B,49686.34528,49.7 µs,0.0,0.0 ns,2.04,8.44667,33.7817,55.7183,44.2817
107,4096,mmap,1,read,64,zram,1,512M,536870912,12730544041,11.9 GB,0,0.0 B,11246.059122,11.2 µs,0.0,0.0 ns,4.375,38.23,0.0,57.395,42.605
108,4096,mmap,1,read,64,ssd,0,64M,67108864,4664006836,4.3 GB,0,0.0 B,49893.362967,49.9 µs,0.0,0.0 ns,1.85833,8.25,37.535,52.3567,47.6433
109,4096,mmap,1,read,64,zram,0,64M,67108864,13286828448,12.4 GB,0,0.0 B,11083.658475,11.1 µs,0.0,0.0 ns,4.45,38.355,0.0,57.19,42.81
110,4096,mmap,1,read,64,ssd,1,64M,67108864,4633190179,4.3 GB,0,0.0 B,49647.523301,49.6 µs,0.0,0.0 ns,2.04,8.99,35.2467,53.7133,46.2867
111,4096,mmap,1,read,64,zram,1,64M,67108864,12171356134,11.3 GB,0,0.0 B,11427.806346,11.4 µs,0.0,0.0 ns,3.72,39.115,0.0,57.165,42.835
112,4096,mmap,1,rw,64,ssd,0,128M,134217728,4642990309,4.3 GB,4640916301,4.3 GB,22135.415349,22.1 µs,26420.368648,26.4 µs,4.14333,11.25,24.2667,60.3133,39.6867
113,4096,mmap,1,rw,64,zram,0,128M,134217728,10574589006,9.8 GB,10569865373,9.8 GB,4518.934324,4.5 µs,8792.843373,8.8 µs,7.55,27.41,0.0,65.04,34.96
114,4096,mmap,1,rw,64,ssd,1,128M,134217728,1987244956,1.9 GB,1986357260,1.8 GB,2269.284694,2.3 µs,122479.060588,122.5 µs,2.0225,7.07125,38.2488,52.6575,47.3425
115,4096,mmap,1,rw,64,zram,1,128M,134217728,1098421576,1.0 GB,1097930914,1.0 GB,2824.948786,2.8 µs,102916.419267,102.9 µs,0.848667,46.864,0.0373333,52.0413,47.9587
116,4096,mmap,1,rw,64,ssd,0,16M,16777216,4105042316,3.8 GB,4103208607,3.8 GB,21831.152964,21.8 µs,26035.046068,26.0 µs,3.77667,19.2867,18.9533,57.9667,42.0333
117,4096,mmap,1,rw,64,zram,0,16M,16777216,8241586156,7.7 GB,8237904667,7.7 GB,4607.303504,4.6 µs,8624.493847,8.6 µs,6.81,29.71,0.0,63.48,36.52
118,4096,mmap,1,rw,64,ssd,1,16M,16777216,1965424583,1.8 GB,1964546635,1.8 GB,2244.074896,2.2 µs,123607.573605,123.6 µs,2.31125,7.36875,37.9425,52.3762,47.6238
119,4096,mmap,1,rw,64,zram,1,16M,16777216,1048746239,1000.2 MB,1048277768,999.7 MB,3002.352782,3.0 µs,108502.680282,108.5 µs,0.87,48.194,0.014,50.9247,49.0753
120,4096,mmap,1,rw,64,ssd,0,1G,1073741824,4648013831,4.3 GB,4645937579,4.3 GB,22346.895069,22.3 µs,26509.593689,26.5 µs,4.49,11.02,24.8367,59.62,40.38
121,4096,mmap,1,rw,64,zram,0,1G,1073741824,12016578416,11.2 GB,12011210651,11.2 GB,4048.02137,4.0 µs,7560.12125,7.6 µs,,,,,
122,4096,mmap,1,rw,64,ssd,1,1G,1073741824,1957142042,1.8 GB,1956267794,1.8 GB,2276.034668,2.3 µs,124472.998765,124.5 µs,1.79875,6.93375,38.3588,52.9087,47.0913
123,4096,mmap,1,rw,64,zram,1,1G,1073741824,1151568632,1.1 GB,1151054230,1.1 GB,2787.492264,2.8 µs,99820.937397,99.8 µs,0.98,46.945,0.0,52.0664,47.9336
124,4096,mmap,1,rw,64,ssd,0,256M,268435456,4620518186,4.3 GB,4618454216,4.3 GB,22229.610915,22.2 µs,26617.500442,26.6 µs,4.69,12.4967,23.55,59.2467,40.7533
125,4096,mmap,1,rw,64,zram,0,256M,268435456,11022262434,10.3 GB,11017338827,10.3 GB,4303.027571,4.3 µs,8323.740557,8.3 µs,9.4,26.8,0.0,63.79,36.21
126,4096,mmap,1,rw,64,ssd,1,256M,268435456,1942100716,1.8 GB,1941233186,1.8 GB,2305.824062,2.3 µs,125518.038216,125.5 µs,1.98625,7.10125,38.3125,52.6,47.4
127,4096,mmap,1,rw,64,zram,1,256M,268435456,1127391886,1.0 GB,1126888284,1.0 GB,2864.904737,2.9 µs,104198.087797,104.2 µs,0.982143,47.2229,0.00214286,51.7857,48.2143
128,4096,mmap,1,rw,64,ssd,0,32M,33554432,4547157220,4.2 GB,4545126020,4.2 GB,22076.648698,22.1 µs,26588.966438,26.6 µs,4.44333,13.0067,23.78,58.76,41.24
129,4096,mmap,1,rw,64,zram,0,32M,33554432,10458738366,9.7 GB,10454066483,9.7 GB,4533.524867,4.5 µs,8810.235631,8.8 µs,7.53,27.84,0.01,64.62,35.38
130,4096,mmap,1,rw,64,ssd,1,32M,33554432,1988394716,1.9 GB,1987506506,1.9 GB,2220.444141,2.2 µs,122430.698331,122.4 µs,2.17,6.9875,38.2362,52.6025,47.3975
131,4096,mmap,1,rw,64,zram,1,32M,33554432,1092069090,1.0 GB,1091581266,1.0 GB,2949.543775,2.9 µs,107407.875318,107.4 µs,0.892,47.9153,0.002,51.1887,48.8113
132,4096,mmap,1,rw,64,ssd,0,512M,536870912,4641736125,4.3 GB,4639662677,4.3 GB,22299.636045,22.3 µs,26496.229123,26.5 µs,4.62667,10.9833,24.95,59.43,40.57
133,4096,mmap,1,rw,64,zram,0,512M,536870912,11524954484,10.7 GB,11519806325,10.7 GB,4231.642008,4.2 µs,8068.303022,8.1 µs,,,,,
134,4096,mmap,1,rw,64,ssd,1,512M,536870912,1971512980,1.8 GB,1970632312,1.8 GB,2288.945263,2.3 µs,123529.655982,123.5 µs,1.96625,6.7875,38.4575,52.7875,47.2125
