,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL(%),SYS_UTIL(%),IOW_UTIL(%),IDL_UTIL(%),CPU_UTIL(%)
53,4096,libaio,128,randrw,32,zram,1,none,1768838893,1.6 GB,1769389751,1.6 GB,4602772.501128,4.6 ms,4665982.459241,4.7 ms,1.36111,26.7033,0.0,71.9378,28.0622
54,4096,libaio,64,randrw,32,ssd,1,none,1494318790,1.4 GB,1494784155,1.4 GB,2277649.852303,2.3 ms,2677946.273689,2.7 ms,3.11636,9.8,0.000909091,87.0745,12.9255
55,4096,libaio,64,randrw,32,zram,1,none,1815963050,1.7 GB,1816528583,1.7 GB,1904139.524308,1.9 ms,1956719.097689,2.0 ms,1.68625,26.2725,0.00125,72.03,27.97
56,4096,mmap,1,randrw,32,ssd,1,none,550321804,524.8 MB,550493187,525.0 MB,106390.156289,106.4 µs,127115.774914,127.1 µs,0.542,1.985,25.1253,72.341,27.659
57,4096,mmap,1,randrw,32,zram,1,none,1958407763,1.8 GB,1959017657,1.8 GB,6924.394786,6.9 µs,55669.805164,55.7 µs,1.80875,26.2263,0.0025,71.9625,28.0375
58,4096,sync,1,randrw,32,ssd,1,none,899612155,857.9 MB,899892315,858.2 MB,119378.588006,119.4 µs,22775.41487,22.8 µs,0.793889,1.13,25.8322,72.2367,27.7633
59,4096,sync,1,randrw,32,zram,1,none,2056656429,1.9 GB,2057296919,1.9 GB,2768.998022,2.8 µs,58243.09778,58.2 µs,1.42286,26.5157,0.0,72.0414,27.9586
60,4096,io_uring,128,randrw,64,ssd,1,none,1671404254,1.6 GB,1670657643,1.6 GB,9665380.320051,9.7 ms,10069188.982766,10.1 ms,1.93444,3.29667,36.1344,58.6311,41.3689
61,4096,io_uring,128,randrw,64,zram,1,none,1918681011,1.8 GB,1917823942,1.8 GB,9250804.001939,9.3 ms,7010591.28947,7.0 ms,1.92625,46.4387,0.01375,51.6163,48.3837
62,4096,io_uring,64,randrw,64,ssd,1,none,1687821150,1.6 GB,1687067206,1.6 GB,4678358.76025,4.7 ms,5087184.679577,5.1 ms,1.82444,3.20889,36.3889,58.5756,41.4244
63,4096,io_uring,64,randrw,64,zram,1,none,1805769980,1.7 GB,1804963349,1.7 GB,5171725.461846,5.2 ms,3649055.043112,3.6 ms,2.0625,46.5913,0.005,51.3388,48.6612
64,4096,libaio,128,randrw,64,ssd,1,none,1689812875,1.6 GB,1689058042,1.6 GB,9503249.12736,9.5 ms,9920115.611336,9.9 ms,3.73222,8.67444,1.66556,85.9233,14.0767
65,4096,libaio,128,randrw,64,zram,1,none,1798399490,1.7 GB,1797596151,1.7 GB,8659010.368855,8.7 ms,8783580.033982,8.8 ms,1.6,46.7544,0.00111111,51.6433,48.3567
66,4096,libaio,64,randrw,64,ssd,1,none,1455876229,1.4 GB,1455225894,1.4 GB,4644169.562222,4.6 ms,5073237.522044,5.1 ms,3.12273,14.1891,0.524545,82.1582,17.8418
67,4096,libaio,64,randrw,64,zram,1,none,1712718741,1.6 GB,1711953676,1.6 GB,3767830.0407,3.8 ms,3881246.556021,3.9 ms,1.54556,47.0,0.0,51.4533,48.5467
68,4096,mmap,1,randrw,64,ssd,1,none,830210993,791.8 MB,829840140,791.4 MB,142532.137631,142.5 µs,169699.583063,169.7 µs,1.111,3.633,42.04,53.2115,46.7885
69,4096,mmap,1,randrw,64,zram,1,none,1941661823,1.8 GB,1940794489,1.8 GB,9493.303089,9.5 µs,114558.662552,114.6 µs,1.94875,46.2237,0.0,51.8263,48.1737
70,4096,sync,1,randrw,64,ssd,1,none,1273621934,1.2 GB,1273053011,1.2 GB,168098.424076,168.1 µs,34713.215572,34.7 µs,1.27083,1.92083,44.5258,52.2808,47.7192
71,4096,sync,1,randrw,64,zram,1,none,2206433890,2.1 GB,2205448283,2.1 GB,3510.146486,3.5 µs,105700.116995,105.7 µs,1.84,46.2843,0.0,51.8771,48.1229
72,4096,io_uring,128,randwrite,1,ssd,1,none,0,0.0 B,906661170,864.7 MB,0.0,0.0 ns,577648.101217,577.6 µs,0.361081,0.792162,0.00756757,98.8046,1.19541
73,4096,io_uring,128,randwrite,1,zram,1,none,0,0.0 B,403042056,384.4 MB,0.0,0.0 ns,1300439.834915,1.3 ms,0.145,1.04595,0.548929,98.1706,1.8294
74,4096,io_uring,64,randwrite,1,ssd,1,none,0,0.0 B,905132593,863.2 MB,0.0,0.0 ns,289035.616604,289.0 µs,0.315676,0.783784,0.00675676,98.8624,1.13757
75,4096,io_uring,64,randwrite,1,zram,1,none,0,0.0 B,405395940,386.6 MB,0.0,0.0 ns,646249.231213,646.2 µs,0.136429,1.04512,0.55119,98.1893,1.81071
76,4096,libaio,128,randwrite,1,ssd,1,none,0,0.0 B,833711168,795.1 MB,0.0,0.0 ns,628019.695057,628.0 µs,0.35375,0.74775,0.00025,98.8703,1.12975
77,4096,libaio,128,randwrite,1,zram,1,none,0,0.0 B,374472654,357.1 MB,0.0,0.0 ns,1399704.087267,1.4 ms,0.115934,0.835055,0.00021978,99.0489,0.951099
78,4096,libaio,64,randwrite,1,ssd,1,none,0,0.0 B,793197709,756.5 MB,0.0,0.0 ns,300355.233543,300.4 µs,0.307619,0.765476,0.000238095,98.8995,1.10048
79,4096,libaio,64,randwrite,1,zram,1,none,0,0.0 B,353382546,337.0 MB,0.0,0.0 ns,711897.677246,711.9 µs,0.133229,0.840729,0.0003125,99.0261,0.973854
80,4096,mmap,1,randwrite,1,ssd,1,none,0,0.0 B,45473389,43.4 MB,0.0,0.0 ns,89574.867996,89.6 µs,0.0248677,0.0973677,0.742963,99.1356,0.864418
81,4096,mmap,1,randwrite,1,zram,1,none,0,0.0 B,254592015,242.8 MB,0.0,0.0 ns,15707.646625,15.7 µs,0.116963,0.84637,0.000296296,99.0373,0.962741
82,4096,sync,1,randwrite,1,ssd,1,none,0,0.0 B,283019821,269.9 MB,0.0,0.0 ns,13968.632592,14.0 µs,0.0875833,0.162083,0.57175,99.1763,0.823667
83,4096,sync,1,randwrite,1,zram,1,none,0,0.0 B,396246680,377.9 MB,0.0,0.0 ns,9837.218076,9.8 µs,0.133256,0.845233,0.000232558,99.0216,0.978372
84,4096,io_uring,128,randwrite,32,ssd,1,none,0,0.0 B,2381132250,2.2 GB,0.0,0.0 ns,6687140.454193,6.7 ms,1.01231,1.62,22.0538,75.3069,24.6931
85,4096,io_uring,128,randwrite,32,zram,1,none,0,0.0 B,2162894269,2.0 GB,0.0,0.0 ns,7695310.521522,7.7 ms,1.228,29.5693,16.6333,52.5653,47.4347
86,4096,io_uring,64,randwrite,32,ssd,1,none,0,0.0 B,2336443517,2.2 GB,0.0,0.0 ns,3270312.986956,3.3 ms,1.03357,1.54,21.4929,75.9136,24.0864
87,4096,io_uring,64,randwrite,32,zram,1,none,0,0.0 B,2173428956,2.0 GB,0.0,0.0 ns,3825826.737058,3.8 ms,1.23667,29.534,16.5067,52.7207,47.2793
88,4096,libaio,128,randwrite,32,ssd,1,none,0,0.0 B,2408505423,2.2 GB,0.0,0.0 ns,6827486.425409,6.8 ms,2.32385,5.22846,0.00769231,92.4385,7.56154
89,4096,libaio,128,randwrite,32,zram,1,none,0,0.0 B,2308811877,2.2 GB,0.0,0.0 ns,7137606.840886,7.1 ms,0.874286,27.3664,0.0,71.745,28.255
90,4096,libaio,64,randwrite,32,ssd,1,none,0,0.0 B,2107054539,2.0 GB,0.0,0.0 ns,3570913.086297,3.6 ms,1.84067,6.35733,0.00333333,91.7947,8.20533
91,4096,libaio,64,randwrite,32,zram,1,none,0,0.0 B,2229703982,2.1 GB,0.0,0.0 ns,3399107.935517,3.4 ms,0.862143,27.16,0.0,71.9643,28.0357
92,4096,mmap,1,randwrite,32,ssd,1,none,0,0.0 B,872938654,832.5 MB,0.0,0.0 ns,144448.806646,144.4 µs,0.588158,1.93079,25.0466,72.4295,27.5705
93,4096,mmap,1,randwrite,32,zram,1,none,0,0.0 B,2250736169,2.1 GB,0.0,0.0 ns,55678.325777,55.7 µs,1.02,27.3443,0.0,71.6271,28.3729
94,4096,sync,1,randwrite,32,ssd,1,none,0,0.0 B,2205657874,2.1 GB,0.0,0.0 ns,57337.213914,57.3 µs,0.958571,1.40429,25.1743,72.4629,27.5371
95,4096,sync,1,randwrite,32,zram,1,none,0,0.0 B,2288208468,2.1 GB,0.0,0.0 ns,55741.96492,55.7 µs,0.983571,27.435,0.0,71.565,28.435
96,4096,io_uring,128,randwrite,64,ssd,1,none,0,0.0 B,2353729166,2.2 GB,0.0,0.0 ns,13710770.935373,13.7 ms,0.974286,1.92643,36.3971,60.6964,39.3036
97,4096,io_uring,128,randwrite,64,zram,1,none,0,0.0 B,2076744537,1.9 GB,0.0,0.0 ns,15566689.170784,15.6 ms,1.146,48.08,0.00466667,50.7687,49.2313
98,4096,io_uring,64,randwrite,64,ssd,1,none,0,0.0 B,2355665594,2.2 GB,0.0,0.0 ns,6812810.26664,6.8 ms,1.155,2.00071,37.8943,58.9479,41.0521
99,4096,io_uring,64,randwrite,64,zram,1,none,0,0.0 B,2149498803,2.0 GB,0.0,0.0 ns,7505598.5132,7.5 ms,1.188,48.0793,0.0426667,50.6873,49.3127
100,4096,libaio,128,randwrite,64,ssd,1,none,0,0.0 B,2361981052,2.2 GB,0.0,0.0 ns,13917681.45775,13.9 ms,2.42786,6.155,0.498571,90.9171,9.08286
101,4096,libaio,128,randwrite,64,zram,1,none,0,0.0 B,2060306911,1.9 GB,0.0,0.0 ns,15344514.574036,15.3 ms,0.953125,47.5825,0.000625,51.4556,48.5444
102,4096,libaio,64,randwrite,64,ssd,1,none,0,0.0 B,2074237148,1.9 GB,0.0,0.0 ns,7149471.109257,7.1 ms,2.28687,9.71687,0.095625,87.8969,12.1031
103,4096,libaio,64,randwrite,64,zram,1,none,0,0.0 B,2079257995,1.9 GB,0.0,0.0 ns,6770021.17735,6.8 ms,0.70125,46.8344,0.0,52.4631,47.5369
104,4096,mmap,1,randwrite,64,ssd,1,none,0,0.0 B,1315557790,1.2 GB,0.0,0.0 ns,197938.412188,197.9 µs,0.9196,3.5724,43.5432,51.9612,48.0388
105,4096,mmap,1,randwrite,64,zram,1,none,0,0.0 B,2177561212,2.0 GB,0.0,0.0 ns,111864.31974,111.9 µs,1.09533,47.4947,0.0,51.41,48.59
106,4096,sync,1,randwrite,64,ssd,1,none,0,0.0 B,2336602405,2.2 GB,0.0,0.0 ns,110995.274538,111.0 µs,1.42071,1.97071,44.9829,51.62,48.38
107,4096,sync,1,randwrite,64,zram,1,none,0,0.0 B,2247350275,2.1 GB,0.0,0.0 ns,108788.703851,108.8 µs,0.820714,48.1921,0.00285714,50.9607,49.0393
108,4096,io_uring,128,read,1,ssd,1,none,1304420423,1.2 GB,0,0.0 B,401525.253181,401.5 µs,0.0,0.0 ns,0.4228,0.7136,0.0004,98.8528,1.1472
109,4096,io_uring,128,read,1,zram,1,none,1748320275,1.6 GB,0,0.0 B,299590.649249,299.6 µs,0.0,0.0 ns,0.47,1.29263,0.0473684,97.9758,2.02421
110,4096,io_uring,64,read,1,ssd,1,none,1221983724,1.1 GB,0,0.0 B,214115.402712,214.1 µs,0.0,0.0 ns,0.492963,0.687778,0.00851852,98.8133,1.18667
111,4096,io_uring,64,read,1,zram,1,none,1794804553,1.7 GB,0,0.0 B,145772.101412,145.8 µs,0.0,0.0 ns,0.65,1.29333,0.0394444,97.8867,2.11333
112,4096,libaio,128,read,1,ssd,1,none,1170849123,1.1 GB,0,0.0 B,447371.71729,447.4 µs,0.0,0.0 ns,0.529643,0.643929,0.000357143,98.8264,1.17357
113,4096,libaio,128,read,1,zram,1,none,1402323825,1.3 GB,0,0.0 B,373602.397253,373.6 µs,0.0,0.0 ns,0.396087,0.697391,0.0,98.9096,1.09043
114,4096,libaio,64,read,1,ssd,1,none,1165724796,1.1 GB,0,0.0 B,224439.835975,224.4 µs,0.0,0.0 ns,0.334032,1.01581,0.00870968,98.6277,1.37226
115,4096,libaio,64,read,1,zram,1,none,1433985992,1.3 GB,0,0.0 B,182512.190457,182.5 µs,0.0,0.0 ns,0.672034,0.994237,0.000508475,98.1631,1.83695
